identity,name,parentId,type,parentNodeType,weight,parentRelation
MATHS:8,List,MATHS:2,term,Knowledge,8,indicatorOf
MATHS:9,Name,MATHS:2,term,Knowledge,7,indicatorOf
MATHS:10,Recall,MATHS:2,term,Knowledge,6,indicatorOf
MATHS:11,Record,MATHS:2,term,Knowledge,7,indicatorOf
MATHS:12,Manage,MATHS:2,term,Knowledge,2,counterIndicatorOf
MATHS:13,Repeat,MATHS:2,term,Knowledge,7,indicatorOf
MATHS:14,State,MATHS:2,term,Knowledge,9,indicatorOf
MATHS:15,Tell,MATHS:2,term,Knowledge,8,indicatorOf
MATHS:16,Define,MATHS:2,term,Knowledge,9,indicatorOf
MATHS:17,Duplicate,MATHS:2,term,Knowledge,5,indicatorOf
MATHS:18,Label,MATHS:2,term,Knowledge,7,indicatorOf
MATHS:19,reply,MATHS:2,term,Knowledge,5,indicatorOf
MATHS:20,Match,MATHS:2,term,Knowledge,6,indicatorOf
MATHS:21,Memorize,MATHS:2,term,Knowledge,7,indicatorOf
MATHS:22,fundamental,MATHS:2,term,Knowledge,6,indicatorOf
MATHS:23,Order,MATHS:2,term,Knowledge,8,indicatorOf
MATHS:24,Outline,MATHS:2,term,Knowledge,8,indicatorOf
MATHS:25,Recognize,MATHS:2,term,Knowledge,3,counterIndicatorOf
MATHS:26,Count,MATHS:2,term,Knowledge,8,indicatorOf
MATHS:27,Describe,MATHS:2,term,Knowledge,9,indicatorOf
MATHS:28,Enumerate,MATHS:2,term,Knowledge,9,indicatorOf
MATHS:29,Find,MATHS:2,term,Knowledge,9,indicatorOf
MATHS:30,Quote,MATHS:2,term,Knowledge,9,indicatorOf
MATHS:31,Read,MATHS:2,term,Knowledge,8,indicatorOf
MATHS:32,select,MATHS:2,term,Knowledge,5,counterIndicatorOf
MATHS:33,Recite,MATHS:2,term,Knowledge,8,indicatorOf
MATHS:34,Reproduce,MATHS:2,term,Knowledge,7,indicatorOf
MATHS:35,Sequence,MATHS:2,term,Knowledge,6,indicatorOf
MATHS:36,State,MATHS:2,term,Knowledge,9,indicatorOf
MATHS:37,View,MATHS:2,term,Knowledge,8,indicatorOf
MATHS:38,Write,MATHS:2,term,Knowledge,5,counterIndicatorOf
MATHS:39,Locate,MATHS:2,term,Knowledge,6,indicatorOf
MATHS:40,Identify,MATHS:2,term,Knowledge,3,counterIndicatorOf
MATHS:41,Tell,MATHS:2,term,Knowledge,5,counterIndicatorOf
MATHS:42,Compare,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:43,Describe,MATHS:3,term,Comprehension,5,counterIndicatorOf
MATHS:44,Discuss,MATHS:3,term,Comprehension,7,indicatorOf
MATHS:45,Explain,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:46,Express,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:47,Identify,MATHS:3,term,Comprehension,7,indicatorOf
MATHS:48,Reconize,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:49,Restate,MATHS:3,term,Comprehension,9,indicatorOf
MATHS:50,Tell,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:51,Translate,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:52,Classify,MATHS:3,term,Comprehension,9,indicatorOf
MATHS:53,Convert,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:54,Defend,MATHS:3,term,Comprehension,9,indicatorOf
MATHS:55,Generalized,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:56,Example,MATHS:3,term,Comprehension,9,indicatorOf
MATHS:57,Indicate,MATHS:3,term,Comprehension,7,indicatorOf
MATHS:58,Paraphrase,MATHS:3,term,Comprehension,9,indicatorOf
MATHS:59,Predict,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:60,Rewrite,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:61,Review,MATHS:3,term,Comprehension,8,indicatorOf
MATHS:62,Summarize,MATHS:3,term,Comprehension,9,indicatorOf
MATHS:63,Tell,MATHS:3,term,Comprehension,4,counterIndicatorOf
MATHS:64,Outline,MATHS:3,term,Comprehension,5,counterIndicatorOf
MATHS:65,Recognize,MATHS:3,term,Comprehension,9,indicatorOf
MATHS:66,Describe,MATHS:3,term,Comprehension,4,counterIndicatorOf
MATHS:67,select,MATHS:3,term,Comprehension,4,counterIndicatorOf
MATHS:68,Infer,MATHS:3,term,Comprehension,5,counterIndicatorOf
MATHS:69,Rewrite,MATHS:3,term,Comprehension,6,counterIndicatorOf
MATHS:70,Apply,MATHS:4,term,Application,9,indicatorOf
MATHS:71,Complete,MATHS:4,term,Application,7,indicatorOf
MATHS:72,Construct ,MATHS:4,term,Application,8,indicatorOf
MATHS:73,Demonstrate,MATHS:4,term,Application,8,indicatorOf
MATHS:74,Dramatize,MATHS:4,term,Application,7,indicatorOf
MATHS:75,Employ,MATHS:4,term,Application,6,indicatorOf
MATHS:76,Illustrate,MATHS:4,term,Application,8,indicatorOf
MATHS:77,Interpret,MATHS:4,term,Application,9,indicatorOf
MATHS:78,Operate,MATHS:4,term,Application,7,indicatorOf
MATHS:79,Practice,MATHS:4,term,Application,8,indicatorOf
MATHS:80,Schedule,MATHS:4,term,Application,8,indicatorOf
MATHS:81,Sketch,MATHS:4,term,Application,7,indicatorOf
MATHS:82,Use,MATHS:4,term,Application,6,indicatorOf
MATHS:83,Change,MATHS:4,term,Application,8,indicatorOf
MATHS:84,Compute,MATHS:4,term,Application,9,indicatorOf
MATHS:85,Discover,MATHS:4,term,Application,8,indicatorOf
MATHS:86,Manipulate,MATHS:4,term,Application,9,indicatorOf
MATHS:87,Modify,MATHS:4,term,Application,7,indicatorOf
MATHS:88,Show,MATHS:4,term,Application,7,indicatorOf
MATHS:89,List,MATHS:4,term,Application,2,counterIndicatorOf
MATHS:90,Write,MATHS:4,term,Application,8,indicatorOf
MATHS:91,Classify,MATHS:4,term,Application,5,counterIndicatorOf
MATHS:92,Analyze,MATHS:5,term,Analysis,9,indicatorOf
MATHS:93,Appraise,MATHS:5,term,Analysis,8,indicatorOf
MATHS:94,Categorize,MATHS:5,term,Analysis,8,indicatorOf
MATHS:95,Compare,MATHS:5,term,Analysis,6,indicatorOf
MATHS:96,Contrast,MATHS:5,term,Analysis,7,indicatorOf
MATHS:97,Debate,MATHS:5,term,Analysis,6,indicatorOf
MATHS:98,Diagram,MATHS:5,term,Analysis,7,indicatorOf
MATHS:99,Differentiate,MATHS:5,term,Analysis,8,indicatorOf
MATHS:100,Distinguish,MATHS:5,term,Analysis,9,indicatorOf
MATHS:101,Examine,MATHS:5,term,Analysis,8,indicatorOf
MATHS:102,Experiment,MATHS:5,term,Analysis,9,indicatorOf
MATHS:103,Inspect,MATHS:5,term,Analysis,8,indicatorOf
MATHS:104,Inventory,MATHS:5,term,Analysis,7,indicatorOf
MATHS:105,Question,MATHS:5,term,Analysis,7,indicatorOf
MATHS:106,Test,MATHS:5,term,Analysis,8,indicatorOf
MATHS:107,Calculate,MATHS:5,term,Analysis,7,indicatorOf
MATHS:108,Discriminate,MATHS:5,term,Analysis,6,indicatorOf
MATHS:109,Point out,MATHS:5,term,Analysis,8,indicatorOf
MATHS:110,Separate,MATHS:5,term,Analysis,9,indicatorOf
MATHS:111,Subdivide,MATHS:5,term,Analysis,7,indicatorOf
MATHS:112,Test,MATHS:5,term,Analysis,8,indicatorOf
MATHS:113,Outline,MATHS:5,term,Analysis,3,counterIndicatorOf
MATHS:114,Recognize,MATHS:5,term,Analysis,5,counterIndicatorOf
MATHS:115,select,MATHS:5,term,Analysis,7,indicatorOf
MATHS:116,Explain,MATHS:5,term,Analysis,3,counterIndicatorOf
MATHS:117,Identify,MATHS:5,term,Analysis,4,counterIndicatorOf
MATHS:118,Classify,MATHS:5,term,Analysis,5,counterIndicatorOf
MATHS:119,Infer,MATHS:5,term,Analysis,8,indicatorOf
MATHS:120,Illustrate,MATHS:5,term,Analysis,4,indicatorOf
MATHS:121,Arrange,MATHS:6,term,Synthesis,7,indicatorOf
MATHS:122,Assemble ,MATHS:6,term,Synthesis,8,indicatorOf
MATHS:123,Collect,MATHS:6,term,Synthesis,9,indicatorOf
MATHS:124,Combine,MATHS:6,term,Synthesis,8,indicatorOf
MATHS:125,Comply,MATHS:6,term,Synthesis,9,indicatorOf
MATHS:126,Compose,MATHS:6,term,Synthesis,9,indicatorOf
MATHS:127,Construct,MATHS:6,term,Synthesis,8,indicatorOf
MATHS:128,Create,MATHS:6,term,Synthesis,7,indicatorOf
MATHS:129,Design,MATHS:6,term,Synthesis,6,indicatorOf
MATHS:130,Devise,MATHS:6,term,Synthesis,7,indicatorOf
MATHS:131,Formulate,MATHS:6,term,Synthesis,8,indicatorOf
MATHS:132,Manage,MATHS:6,term,Synthesis,7,indicatorOf
MATHS:133,Organize,MATHS:6,term,Synthesis,9,indicatorOf
MATHS:134,Plan,MATHS:6,term,Synthesis,8,indicatorOf
MATHS:135,Prepare,MATHS:6,term,Synthesis,7,indicatorOf
MATHS:136,Propose,MATHS:6,term,Synthesis,7,indicatorOf
MATHS:137,Setup,MATHS:6,term,Synthesis,8,indicatorOf
MATHS:138,Generate,MATHS:6,term,Synthesis,9,indicatorOf
MATHS:139,Rearrange,MATHS:6,term,Synthesis,9,indicatorOf
MATHS:140,Reconstruct,MATHS:6,term,Synthesis,7,indicatorOf
MATHS:141,Reorganize,MATHS:6,term,Synthesis,8,indicatorOf
MATHS:142,Synthesize,MATHS:6,term,Synthesis,7,indicatorOf
MATHS:143,Manage,MATHS:6,term,Synthesis,6,indicatorOf
MATHS:144,Tell,MATHS:6,term,Synthesis,3,counterIndicatorOf
MATHS:145,Write,MATHS:6,term,Synthesis,4,counterIndicatorOf
MATHS:146,Express,MATHS:6,term,Synthesis,5,counterIndicatorOf
MATHS:147,Tell,MATHS:6,term,Synthesis,4,counterIndicatorOf
MATHS:148,Rewrite,MATHS:6,term,Synthesis,5,counterIndicatorOf
MATHS:149,Summarize,MATHS:6,term,Synthesis,4,counterIndicatorOf
MATHS:150,Construct ,MATHS:6,term,Synthesis,5,counterIndicatorOf
MATHS:151,Appraise ,MATHS:7,term,Evaluation,9,indicatorOf
MATHS:152,Argue,MATHS:7,term,Evaluation,8,indicatorOf
MATHS:153,Assess,MATHS:7,term,Evaluation,7,indicatorOf
MATHS:154,Choose,MATHS:7,term,Evaluation,6,indicatorOf
MATHS:155,Compare,MATHS:7,term,Evaluation,8,indicatorOf
MATHS:156,Conclude,MATHS:7,term,Evaluation,6,indicatorOf
MATHS:157,Estimate,MATHS:7,term,Evaluation,7,indicatorOf
MATHS:158,Evaluate,MATHS:7,term,Evaluation,5,indicatorOf
MATHS:159,Interpret,MATHS:7,term,Evaluation,7,indicatorOf
MATHS:160,Judge,MATHS:7,term,Evaluation,9,indicatorOf
MATHS:161,Justify,MATHS:7,term,Evaluation,8,indicatorOf
MATHS:162,Measure,MATHS:7,term,Evaluation,6,indicatorOf
MATHS:163,Rate,MATHS:7,term,Evaluation,6,indicatorOf
MATHS:164,Revise,MATHS:7,term,Evaluation,5,indicatorOf
MATHS:165,Score,MATHS:7,term,Evaluation,8,indicatorOf
MATHS:166,Select,MATHS:7,term,Evaluation,6,counterIndicatorOf
MATHS:167,Support,MATHS:7,term,Evaluation,7,indicatorOf
MATHS:168,Value,MATHS:7,term,Evaluation,6,indicatorOf
MATHS:169,Attach,MATHS:7,term,Evaluation,7,indicatorOf
MATHS:170,Defend,MATHS:7,term,Evaluation,3,counterIndicatorOf
MATHS:171,Summarize,MATHS:7,term,Evaluation,3,counterIndicatorOf
MATHS:172,Interpret,MATHS:7,term,Evaluation,4,counterIndicatorOf
